house_score,value_tier,price_value,predicted_price,pricing_gap_pct,investment_opportunity_score,undervalued_flag,beds,baths,lot_size_sqft,latitude,longitude,luxury_score,amenities_score
25.64,Premium,424900,1000755.7417702144,1.3552735744180147,20.097494999656654,1,2,2.0,6534.0,21.2724671,-157.8206797,0,4
26.92,Premium,125909,295967.73700358585,1.35064798388984,20.028899431272638,1,2,1.0,87.0,44.9505111,-93.0958165,0,6
16.52,Mid-Range,69900,162949.1691461526,1.3311755242654162,19.740131018323794,1,3,2.0,6534.0,44.9275718,-93.1408963,0,0
14.27,Mid-Range,229000,528550.0069354051,1.308078632905699,19.397613802181677,1,1,1.0,6534.0,40.6141372,-73.9226262,0,2
16.96,Mid-Range,425000,930857.1225390496,1.1902520530330578,17.650295018152118,1,1,1.0,6534.0,40.8500549,-73.9395183,0,0
6.79,Budget,50000,108797.190816533,1.17594381633066,17.438109866181613,1,3,2.0,1695.0,39.2801762,-76.6828246,0,0
11.05,Budget,109900,236330.68965099487,1.1504157384075966,17.059539172511702,1,3,1.5,2178.0,40.3438998,-79.9785914,0,2
19.12,Mid-Range,165000,351257.1207576316,1.128831034894737,16.739447068196238,1,6,2.0,6098.0,45.0187834,-93.2458414,0,0
9.63,Budget,139900,296525.1558643719,1.1195507924544097,16.601824963286973,1,2,2.0,6534.0,45.4041339,-122.6286987,0,0
24.03,Premium,549999,1129731.477326595,1.0540609661592022,15.630638294097915,1,4,3.5,8326.0,33.3569594,-112.1101844,0,2
10.25,Budget,80000,160056.0997406173,1.0007012467577163,14.83933602493639,1,3,2.0,5601.0,41.4572368,-81.6495696,0,2
8.31,Budget,115000,226598.4709647744,0.9704214866502122,14.390299876480416,1,5,3.0,4081.0,41.5178245,-81.6296275,0,0
9.53,Budget,146500,287419.5473779288,0.9619081732281829,14.26405100739908,1,3,1.5,1873.0,38.0153532,-84.4493072,0,0
23.87,Premium,250000,488563.5845230101,0.9542543380920405,14.150547840985334,1,4,3.0,4835.0,44.9766244,-93.1062503,0,2
15.21,Mid-Range,200000,390197.4088071767,0.9509870440358834,14.102095239853718,1,3,2.0,6534.0,45.5007644,-122.6450936,0,3
17.89,Mid-Range,135000,262592.8946033444,0.9451325526173657,14.01527558644807,1,3,2.0,702056520.0,45.054317,-92.951289,0,0
15.34,Mid-Range,179000,347221.12839407136,0.9397828401903427,13.935941593871885,1,1,1.0,6534.0,40.8675427,-73.8950825,1,1
9.59,Budget,183700,353121.89463242685,0.9222748755167494,13.676305817484563,1,1,1.5,6534.0,25.950605,-80.1708098,0,2
10.53,Budget,144500,276555.5059846923,0.9138789341501198,13.551797526779868,1,3,1.0,1306.0,39.3172465,-76.5749099,0,1
11.59,Budget,69000,131280.23356891726,0.9026120807089458,13.384714813558872,1,2,1.0,6534.0,44.0747953,-123.1868573,0,3
17.75,Mid-Range,280000,532174.0038110799,0.9006214421824282,13.355194478729867,1,2,2.0,2037867480.0,21.280858,-157.8270786,0,3
13.48,Mid-Range,195000,368775.6421855584,0.8911571394131199,13.214842836303935,1,1,1.0,6534.0,45.5279012,-122.6947192,0,2
8.57,Budget,116000,217951.87510712584,0.8788954750614297,13.033007494326496,1,2,1.0,6534.0,38.061624,-84.4826314,0,0
10.06,Budget,78100,146243.0490448504,0.8725102310480205,12.93831700244171,1,3,1.5,7300.0,41.4446965,-81.5460117,0,2
13.49,Mid-Range,149900,278355.0642236672,0.856938387082503,12.707393084490972,1,4,1.5,5662.0,42.9872528,-78.8113058,0,3
11.03,Budget,109900,203804.27299710564,0.8544519835951377,12.670520763128119,1,3,1.5,3060.0,42.9074161,-78.8354496,0,2
11.61,Budget,149500,276870.06859048,0.8519737029463547,12.633768900056166,1,3,2.5,9831.0,40.4843058,-79.7861238,0,2
7.94,Budget,100000,185038.66053258657,0.8503866053258656,12.61023290769038,1,3,1.5,436384080.0,38.1311465,-85.8705365,0,0
8.6,Budget,78000,144110.91864569034,0.847575880072953,12.568551030507244,1,3,1.0,7801.0,41.5689422,-81.5502594,0,1
11.88,Budget,250000,461448.3653032825,0.84579346121313,12.542118506045078,1,3,2.0,5000.0,28.0015268,-82.5892365,0,0
9.36,Budget,100000,184536.41081253247,0.8453641081253247,12.535751379747136,1,3,1.0,442134000.0,38.192649,-85.7882871,0,1
27.66,Premium,849000,1549708.7077537093,0.8253341669654998,12.238715749336759,1,5,4.0,4832.0,33.9522014,-118.2686964,0,1
19.5,Premium,249900,455458.5877539104,0.822563376366188,12.197626086325043,1,3,2.5,7590.0,42.975931,-78.8159383,1,2
7.72,Budget,95000,170858.74418588905,0.798513096693569,11.840970521183843,1,4,1.5,2367.0,42.9058821,-78.8453174,0,0
10.37,Budget,275000,493911.24758385227,0.7960409003049174,11.804308885138987,1,3,2.5,531257760.0,34.1490297,-80.886471,0,3
20.91,Premium,210500,377957.5404709393,0.7955227575816594,11.796625045769844,1,3,2.0,5227.0,45.0157237,-93.2997062,0,1
22.79,Premium,438000,786230.4431374992,0.7950466738299068,11.789564923316084,1,4,3.0,5553.0,28.1598127,-82.3876412,1,1
19.47,Premium,449900,803065.909285221,0.7849875734279196,11.640392681349713,1,4,3.0,6534.0,45.5402405,-122.5751222,0,2
11.39,Budget,129000,229927.9763127848,0.7823874132774016,11.601833396361588,1,3,2.0,3000.0,42.951076,-78.9018166,0,2
19.87,Premium,410000,726555.7080795803,0.7720870928770251,11.44908396294381,1,4,3.0,658060920.0,38.0155178,-84.5460132,0,3
36.82,Premium,750871,1328411.1756352554,0.7691603160000259,11.40568108882685,1,5,4.0,562359600.0,38.9804451,-104.72253,1,2
13.4,Mid-Range,220000,388185.3399039968,0.7644788177454399,11.336256432297894,1,3,3.0,1001.0,41.4996732,-81.6568107,0,2
16.83,Mid-Range,345000,607754.3961254273,0.7616069452910937,11.293667767751742,1,3,2.0,7396.0,33.5942366,-112.1482987,0,2
12.39,Budget,160000,281770.56454903167,0.7610660284314479,11.285646197487385,1,2,1.0,6534.0,38.8259286,-104.7762056,0,2
19.03,Mid-Range,500000,878264.5110280236,0.7565290220560471,11.218364294952586,1,9,6.0,474368400.0,44.0778488,-123.1752817,0,1
16.4,Mid-Range,425000,745130.1891261768,0.7532475038262982,11.169700755289691,1,2,1.0,540797400.0,21.3014265,-157.8323216,0,0
